thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
5,0,5,,,,,,,3,3.5355282998643816,None,,,,,,,,,,,,5,0,5,0,,,,,71.78379619983025,,,,,,,,,,,,,,,,,,,,75.51854799990542,75.53328499989584,76.06519129988737,76.01847369992174,,,,,,,,,,71.77174519980326,71.78379619983025,71.96705469978042,75.5183635998983,SonyLiv30.jpg,Plan 3,3,3.5355282998643816,None,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.04571849992499,76.06519129988737,,76.53373029991053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
0,0,0,,,,,,,,,,2,2.4571161000058055,None,,,,,,,,,,,,,0,0,0,0,76.56618689978495,,,,,,,,,,,,,,,,,,,,79.2011891999282,79.21583089977503,79.73170199990273,79.70003519998863,,,,,,,,,,,,,,,,,,,76.551577599952,76.56618689978495,76.73271629982628,79.20102259982377,SonyLivBundling.jpg,Plan 2,2,2.4571161000058055,None,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
1,0,1,,,,,,,,,,1,2.7651245000306517,None,,,,,,,,,,,,,1,0,1,0,79.73170199990273,,,,,,,,,,,,,,,,,,,,82.66797779989429,82.68114099977538,83.19812769978307,83.16660099988803,,,,,,,,,,,,,,,,,,,79.71521169994958,79.73170199990273,79.90050519979559,82.66780229983851,Zee5Bundling.jpg,Plan 1,1,2.7651245000306517,None,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
2,0,2,,,,,,,,,,1,3.3082265998236835,None,,,,,,,,,,,,,2,0,2,0,83.19812769978307,,,,,,,,,,,,,,,,,,,,86.69786249985918,86.7140196999535,,87.1979775999207,,,,,,,,,,,,,,,,,,,83.17903689993545,83.19812769978307,83.38131049997173,86.69776919996366,CrunchyrollBundling.jpg,Plan 1,1,3.3082265998236835,None,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
3,0,3,,,,,,,,,,2,2.529858099995181,None,,,,,,,,,,,,,3,0,3,0,87.23153599980287,,,,,,,,,,,,,,,,,,,,89.93212379980832,89.9462808999233,90.46439399989322,90.43215609993786,,,,,,,,,,,,,,,,,,,87.21657149982639,87.23153599980287,87.3985028997995,89.9320234998595,AppleOneBundling.jpg,Plan 2,2,2.529858099995181,None,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
4,0,4,,,,,,,,,,3,3.0089167000260204,None,,,,,,,,,,,,,4,0,4,0,90.46439399989322,,,,,,,,,,,,,,,,,,,,93.64944059983827,93.66385869984515,,94.16413209983148,,,,,,,,,,,,,,,,,,,90.44678409979679,90.46439399989322,90.6316566998139,93.6492557998281,HotstarBundling.jpg,Plan 3,3,3.0089167000260204,None,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
5,0,5,,,,,,,,,,2,3.2878578000236303,None,,,,,,,,,,,,,5,0,5,0,94.1963768999558,,,,,,,,,,,,,,,,,,,,97.66334289987572,97.67843969981186,98.20994709990919,98.1624350999482,,,,,,,,,,,,,,,,,,,94.17661559977569,94.1963768999558,94.36239139991812,97.66318809986115,NetflixBundling.jpg,Plan 2,2,3.2878578000236303,None,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.19083429989405,98.20994709990919,,98.67767479992472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.67772409995086,98.69464559992775,99.678539799992,101.8615588999819,space,2.1721788998693228,None,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
