thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,textblank500.stopped,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
5,0,5,,,,,,,3,15.3199819,None,,,,,,,,,,,,5,0,5,0,,,,,574.9520015,,,,,,,,,,,,,,,,,,,,590.3854797,590.3990775,590.8842462,,,,,,,,,,591.0792754,574.9272448,574.9520015,575.0500996,590.3852517,SonyLiv30.jpg,Plan 3,3,15.3199819,None,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.0568611,591.0792754,591.3990784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
0,0,0,,,,,,,,,,3,7.398428,None,,,,,,,,,,,,,0,0,0,0,591.4877287,,,,,,,,,,,,,,,,,,,,599.0128222,599.0386175,599.5251316,,,,,,,,,,,,,,,,,,,,591.463962,591.4877287,591.6006875,599.0125825,SonyLivBundling.jpg,Plan 3,3,7.398428,None,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
1,0,1,,,,,,,,,,1,9.1941752,None,,,,,,,,,,,,,1,0,1,0,599.6252118,,,,,,,,,,,,,,,,,,,,608.9259086,608.9491012,609.4371129,,,,,,,,,,,,,,,,,,,,599.6022423,599.6252118,599.7272347,608.9253767,Zee5Bundling.jpg,Plan 1,1,9.1941752,None,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
2,0,2,,,,,,,,,,3,13.3398162,None,,,,,,,,,,,,,2,0,2,0,609.5224681,,,,,,,,,,,,,,,,,,,,622.9890972,623.015022,623.5016409,,,,,,,,,,,,,,,,,,,,609.5000313,609.5224681,609.6380853,622.9888662,NetflixBundling.jpg,Plan 3,3,13.3398162,None,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
3,0,3,,,,,,,,,,1,20.8962131,None,,,,,,,,,,,,,3,0,3,0,623.640331,,,,,,,,,,,,,,,,,,,,644.613329,644.6384305,645.1256165,,,,,,,,,,,,,,,,,,,,623.6063094,623.640331,623.703513,644.6130966,HotstarBundling.jpg,Plan 1,1,20.8962131,None,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
4,0,4,,,,,,,,,,2,13.98601,None,,,,,,,,,,,,,4,0,4,0,645.2137563,,,,,,,,,,,,,,,,,,,,659.328972,659.3546782,659.8426422,,,,,,,,,,,,,,,,,,,,645.1935228,645.2137563,645.3270206,659.3286937,AppleOneBundling.jpg,Plan 2,2,13.98601,None,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
5,0,5,,,,,,,,,,3,12.9151742,None,,,,,,,,,,,,,5,0,5,0,659.928504,,,,,,,,,,,,,,,,,,,,672.9763521,672.9889724,673.4748727,,,,,,,,,,673.6704539,,,,,,,,,,659.9070333,659.928504,660.0447649,672.9761429,CrunchyrollBundling.jpg,Plan 3,3,12.9151742,None,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.6442276,673.6704539,673.9905384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.9911425,674.0541583,674.9919115,712.018854,space,37.019301,None,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
