thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
5,0,5,,,,,,,3,1.1068133339867927,None,,,,,,,,,,,,5,0,5,0,,,,,98.11960724997334,,,,,,,,,,,,,,,,,,,,99.3989425409818,99.4103275410016,99.91071516595548,99.89599462499609,,,,,,,,,,98.11256508296356,98.11960724997334,98.2897317079478,99.39879004098475,Netflix30.jpg,Plan 3,3,1.1068133339867927,None,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.89613008295419,99.91071516595548,100.42254604096524,100.396123332961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
0,0,0,,,,,,,,,,2,3.433257875032723,None,,,,,,,,,,,,,0,0,0,0,100.42254604096524,,,,,,,,,,,,,,,,,,,,104.04139499994926,104.05018037499394,104.57153804099653,104.54056858294643,,,,,,,,,,,,,,,,,,,100.4153677909635,100.42254604096524,100.59726533299545,104.04026637499919,AppleOneBundling.jpg,Plan 2,2,3.433257875032723,None,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
1,0,1,,,,,,,,,,3,2.745264832978137,None,,,,,,,,,,,,,1,0,1,0,104.57153804099653,,,,,,,,,,,,,,,,,,,,107.4963058749563,107.50644145795377,108.02771237498382,107.99435554095544,,,,,,,,,,,,,,,,,,,104.56474549998529,104.57153804099653,104.73960024997359,107.49603004095843,NetflixBundling.jpg,Plan 3,3,2.745264832978137,None,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
2,0,2,,,,,,,,,,3,0.7976993329939432,None,,,,,,,,,,,,,2,0,2,0,108.02771237498382,,,,,,,,,,,,,,,,,,,,108.99555970798247,109.00654566596495,109.52993858297123,109.49448645795928,,,,,,,,,,,,,,,,,,,108.01885433297139,108.02771237498382,108.19317529100226,108.99543495796388,HotstarBundling.jpg,Plan 3,3,0.7976993329939432,None,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
3,0,3,,,,,,,,,,2,2.122169832990039,None,,,,,,,,,,,,,3,0,3,0,109.52993858297123,,,,,,,,,,,,,,,,,,,,111.81698395794956,111.8271614999976,112.34333733294625,112.31224583298899,,,,,,,,,,,,,,,,,,,109.52250787499361,109.52993858297123,109.6901839999482,111.81685329094762,SonyLivBundling.jpg,Plan 2,2,2.122169832990039,None,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
4,0,4,,,,,,,,,,1,1.9526853749994189,None,,,,,,,,,,,,,4,0,4,0,112.34333733294625,,,,,,,,,,,,,,,,,,,,114.47544983297121,114.48482824995881,115.0049537079758,114.97418891597772,,,,,,,,,,,,,,,,,,,112.33615829097107,112.34333733294625,112.51334070798475,114.47529366594972,Zee5Bundling.jpg,Plan 1,1,1.9526853749994189,None,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
5,0,5,,,,,,,,,,2,1.5303365829749964,None,,,,,,,,,,,,,5,0,5,0,115.0049537079758,,,,,,,,,,,,,,,,,,,,116.70896191598149,116.71376245794818,117.21348445798503,117.2076409579604,,,,,,,,,,,,,,,,,,,114.9983755829744,115.0049537079758,115.1733099159901,116.70875787496334,CrunchyrollBundling.jpg,Plan 2,2,1.5303365829749964,None,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.20793654100271,117.21348445798503,117.72818833298516,117.70759174996056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.70766079099849,117.72818833298516,118.70703687495552,120.51514733297518,space,1.8050530420150608,None,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
