thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
5,0,5,,,,,,,2,22.163766499987105,None,,,,,,,,,,,,5,0,5,0,,,,,420.0430990830064,,,,,,,,,,,,,,,,,,,,442.4016944580071,442.415472875,442.90019941699575,442.909482417017,,,,,,,,,,420.0368677499937,420.0430990830064,420.21675570801017,442.4008213329944,AppleOne30.jpg,Plan 2,2,22.163766499987105,None,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.90055158300675,442.909482417017,443.39457679199404,443.4498489169928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
0,0,0,,,,,,,,,,2,30.00013004199718,None,,,,,,,,,,,,,0,0,0,0,443.4498489169928,,,,,,,,,,,,,,,,,,,,473.6065652919933,473.6147592079942,474.0999092500133,474.1420077079965,,,,,,,,,,,,,,,,,,,443.4418829170172,443.4498489169928,443.5997532920155,473.605801083002,HotstarBundling.jpg,Plan 2,2,30.00013004199718,None,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
1,0,1,,,,,,,,,,2,17.37110916597885,None,,,,,,,,,,,,,1,0,1,0,474.1420077079965,,,,,,,,,,,,,,,,,,,,491.6796944999951,491.68970062499284,492.17873229199904,492.21806179199484,,,,,,,,,,,,,,,,,,,474.1340669580095,474.1420077079965,474.29963770799804,491.67950254201423,Zee5Bundling.jpg,Plan 2,2,17.37110916597885,None,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
2,0,2,,,,,,,,,,2,19.504362582985777,None,,,,,,,,,,,,,2,0,2,0,492.21806179199484,,,,,,,,,,,,,,,,,,,,511.8907252080098,511.9091908330156,512.3944258330157,,,,,,,,,,,,,,,,,,,,492.21097320801346,492.21806179199484,492.37669420801103,511.88991600001464,CrunchyrollBundling.jpg,Plan 2,2,19.504362582985777,None,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
3,0,3,,,,,,,,,,2,26.352288166992366,None,,,,,,,,,,,,,3,0,3,0,512.4451528330101,,,,,,,,,,,,,,,,,,,,538.9429409170116,538.9502738330048,539.4345452499983,539.4981352080067,,,,,,,,,,,,,,,,,,,512.4380489579926,512.4451528330101,512.5835051670147,538.9422012499999,AppleOneBundling.jpg,Plan 2,2,26.352288166992366,None,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
4,0,4,,,,,,,,,,2,29.565603458002442,None,,,,,,,,,,,,,4,0,4,0,539.4981352080067,,,,,,,,,,,,,,,,,,,,569.2090657920053,569.21523183299,569.7009659580071,569.7365916669951,,,,,,,,,,,,,,,,,,,539.4907182500174,539.4981352080067,539.6338683330105,569.2087339170102,SonyLivBundling.jpg,Plan 2,2,29.565603458002442,None,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
5,0,5,,,,,,,,,,4,24.68251629199949,None,,,,,,,,,,,,,5,0,5,0,569.7365916669951,,,,,,,,,,,,,,,,,,,,594.5955622500041,594.6018139169901,595.0854303330125,595.094986208016,,,,,,,,,,,,,,,,,,,569.7303195830027,569.7365916669951,569.9007622080098,594.594466917013,NetflixBundling.jpg,Plan 4,4,24.68251629199949,None,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.0856107500149,595.094986208016,595.5786913750053,595.6078181249904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.5790409170149,595.6078181249904,596.5846859579906,598.1360912079981,space,1.546814291010378,None,63183,001,2025-03-31_22h33.40.399,RES501,2024.2.4,117.98603688353047,2025-03-31 22h33.57.932252 +0530,
